Index,Questions,Count,Upvotes,Answers
15,https://stackoverflow.com/questions/1628088/reset-local-repository-branch-to-be-just-like-remote-repository-head,1,4759,21
17,https://stackoverflow.com/questions/4456438/how-to-pass-null-a-real-surname-to-a-soap-web-service-in-actionscript-3,1,4722,9
18,https://stackoverflow.com/questions/176264/what-is-the-difference-between-a-uri-a-url-and-a-urn,1,4700,31
16,https://stackoverflow.com/questions/114543/how-to-horizontally-center-an-element,1,4759,123
19,https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript,1,4539,56
20,https://stackoverflow.com/questions/11828270/how-do-i-exit-the-vim-editor,1,4536,12
21,https://stackoverflow.com/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background,1,4511,15
22,https://stackoverflow.com/questions/67699/how-to-clone-all-remote-branches-in-git,1,4492,45
24,https://stackoverflow.com/questions/2389361/undo-a-git-merge-that-hasnt-been-pushed-yet,1,4465,33
25,https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java,1,4457,62
26,https://stackoverflow.com/questions/1026069/how-do-i-make-the-first-letter-of-a-string-uppercase-in-javascript,1,4452,110
13,https://stackoverflow.com/questions/105034/how-to-create-a-guid-uuid,1,4769,68
27,https://stackoverflow.com/questions/221294/how-do-you-get-a-timestamp-in-javascript,1,4430,41
29,https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-a-list-of-lists,1,4414,24
30,https://stackoverflow.com/questions/426258/setting-checked-for-a-checkbox-with-jquery,1,4398,43
31,https://stackoverflow.com/questions/7244321/how-do-i-update-or-sync-a-forked-repository-on-github,1,4313,31
32,https://stackoverflow.com/questions/2669690/why-does-google-prepend-while1-to-their-json-responses,1,4304,8
33,https://stackoverflow.com/questions/134845/which-href-value-should-i-use-for-javascript-links-or-javascriptvoid0,1,4297,55
23,https://stackoverflow.com/questions/522563/accessing-the-index-in-for-loops,1,4491,24
28,https://stackoverflow.com/questions/5189560/squash-my-last-x-commits-together-using-git,1,4428,40
36,https://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list,1,4235,1
35,https://stackoverflow.com/questions/271526/avoiding-nullpointerexception-in-java,1,4260,65
37,https://stackoverflow.com/questions/2610497/change-a-html5-inputs-placeholder-color-with-css,1,4193,42
34,https://stackoverflow.com/questions/22343224/whats-the-difference-between-tilde-and-caret-in-package-json,1,4286,19
38,https://stackoverflow.com/questions/136097/difference-between-staticmethod-and-classmethod,1,4176,33
39,https://stackoverflow.com/questions/1109022/how-do-you-close-hide-the-android-soft-keyboard-programmatically,1,4148,123
41,https://stackoverflow.com/questions/105372/how-to-enumerate-an-enum,1,4126,32
42,https://stackoverflow.com/questions/16047306/how-is-docker-different-from-a-virtual-machine,1,4108,21
43,https://stackoverflow.com/questions/509211/understanding-slice-notation,1,4094,33
44,https://stackoverflow.com/questions/671118/what-exactly-is-restful-programming,1,4094,35
45,https://stackoverflow.com/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java,1,4091,35
47,https://stackoverflow.com/questions/14415881/how-can-i-pair-socks-from-a-pile-efficiently,1,4057,37
48,https://stackoverflow.com/questions/2334712/how-do-i-update-from-a-select-in-sql-server,1,4020,36
49,https://stackoverflow.com/questions/400212/how-do-i-copy-to-the-clipboard-in-javascript,1,3974,65
40,https://stackoverflow.com/questions/5480258/how-to-delete-a-remote-tag,1,4143,25
46,https://stackoverflow.com/questions/59838/how-can-i-check-if-a-directory-exists-in-a-bash-shell-script,1,4077,35
