questionLink,upvotes,answers
https://stackoverflow.com/questions/92082/add-a-column-with-a-default-value-to-an-existing-table-in-sql-server,3038,43
https://stackoverflow.com/questions/1132941/least-astonishment-and-the-mutable-default-argument,3037,31
https://stackoverflow.com/questions/951021/what-is-the-javascript-version-of-sleep,3036,87
https://stackoverflow.com/questions/1452721/why-is-using-namespace-std-considered-bad-practice,3036,40
https://stackoverflow.com/questions/11304895/how-do-i-copy-a-folder-from-remote-to-local-using-scp,3033,12
https://stackoverflow.com/questions/953481/how-to-find-and-restore-a-deleted-file-in-a-git-repository,3031,30
https://stackoverflow.com/questions/448271/what-is-init-py-for,3023,12
https://stackoverflow.com/questions/5235142/how-do-i-disable-the-resizable-property-of-a-textarea,3015,18
https://stackoverflow.com/questions/23569441/is-it-possible-to-apply-css-to-half-of-a-character,3010,21
https://stackoverflow.com/questions/986006/how-do-i-pass-a-variable-by-reference,3009,34
https://stackoverflow.com/questions/34571/how-do-i-test-a-class-that-has-private-methods-fields-or-inner-classes,3004,57
https://stackoverflow.com/questions/2612802/list-changes-unexpectedly-after-assignment-why-is-this-and-how-can-i-prevent-it,2987,22
https://stackoverflow.com/questions/739654/how-to-make-function-decorators-and-chain-them-together,2982,17questionLink,upvotes,answers
https://stackoverflow.com/questions/31044/is-there-an-exists-function-for-jquery,2981,46
https://stackoverflow.com/questions/8467424/echo-newline-in-bash-prints-literal-n,2977,19
https://stackoverflow.com/questions/2785485/is-there-a-unique-android-device-id,2955,51
https://stackoverflow.com/questions/141088/how-to-iterate-over-a-dictionary,2952,30
https://stackoverflow.com/questions/4810841/pretty-print-json-using-javascript,2951,27
https://stackoverflow.com/questions/37937984/git-refusing-to-merge-unrelated-histories-on-rebase,2945,27
https://stackoverflow.com/questions/2596805/how-do-i-make-git-use-the-editor-of-my-choice-for-commits,2945,29
https://stackoverflow.com/questions/409286/should-i-use-the-datetime-or-timestamp-data-type-in-mysql,2940,39
https://stackoverflow.com/questions/20035101/why-does-my-javascript-code-receive-a-no-access-control-allow-origin-header-i,2931,8
https://stackoverflow.com/questions/3552461/how-to-format-a-javascript-date,2923,59
https://stackoverflow.com/questions/596351/how-can-i-know-which-radio-button-is-selected-via-jquery,2920,39
https://stackoverflow.com/questions/171251/how-can-i-merge-properties-of-two-javascript-objects-dynamically,2919,67
https://stackoverflow.com/questions/576169/understanding-python-super-with-init-methods,2917,7
https://stackoverflow.com/questions/101752/i-ran-into-a-merge-conflict-how-can-i-abort-the-merge,2915,15
https://stackoverflow.com/questions/47981/how-do-you-set-clear-and-toggle-a-single-bit,2892,27
https://stackoverflow.com/questions/351409/how-to-append-something-to-an-array,2891,30
https://stackoverflow.com/questions/21947452/why-is-printing-b-dramatically-slower-than-printing,2890,3
https://stackoverflow.com/questions/48198/how-can-you-find-out-which-process-is-listening-on-a-tcp-or-udp-port-on-windows,2880,33
https://stackoverflow.com/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters,2870,23
https://stackoverflow.com/questions/17071871/how-do-i-select-rows-from-a-dataframe-based-on-column-values,2843,12
https://stackoverflow.com/questions/2010892/how-to-store-objects-in-html5-localstorage,2843,24
https://stackoverflow.com/questions/369602/deleting-an-element-from-an-array-in-php,2837,26
https://stackoverflow.com/questions/9339429/what-does-cherry-picking-a-commit-with-git-mean,2833,12
https://stackoverflow.com/questions/332030/when-should-static-cast-dynamic-cast-const-cast-and-reinterpret-cast-be-used,2825,9
https://stackoverflow.com/questions/151777/how-can-i-save-an-activity-state-using-the-save-instance-state,2780,36
https://stackoverflow.com/questions/6996603/how-to-delete-a-file-or-folder-in-python,2774,15
https://stackoverflow.com/questions/60174/how-can-i-prevent-sql-injection-in-php,2773,28
https://stackoverflow.com/questions/3390396/how-can-i-check-for-undefined-in-javascript,2769,16
https://stackoverflow.com/questions/2193953/flash-cs4-refuses-to-let-go,2767,7
https://stackoverflow.com/questions/52522565/git-is-not-working-after-macos-update-xcrun-error-invalid-active-developer-pa,2762,26
https://stackoverflow.com/questions/1825585/determine-installed-powershell-version,2762,21
https://stackoverflow.com/questions/21593/what-is-the-difference-between-include-filename-and-include-filename,2760,31
https://stackoverflow.com/questions/247621/what-are-the-correct-version-numbers-for-c,2754,12
https://stackoverflow.com/questions/5223/length-of-a-javascript-object,2749,42
https://stackoverflow.com/questions/824349/how-do-i-modify-the-url-without-reloading-the-page,2748,20
https://stackoverflow.com/questions/2052390/manually-raising-throwing-an-exception-in-python,2746,12
https://stackoverflow.com/questions/152975/how-do-i-detect-a-click-outside-an-element,2739,89
https://stackoverflow.com/questions/1027354/i-need-an-unordered-list-without-any-bullets,2735,17
https://stackoverflow.com/questions/312443/how-do-you-split-a-list-into-evenly-sized-chunks,2733,68
https://stackoverflow.com/questions/332289/how-do-you-change-the-size-of-figures-drawn-with-matplotlib,2730,24
https://stackoverflow.com/questions/5195859/how-do-you-push-a-tag-to-a-remote-repository-using-git,2727,12
https://stackoverflow.com/questions/5515310/is-there-a-standard-function-to-check-for-null-undefined-or-blank-variables-in,2720,45
https://stackoverflow.com/questions/1186535/how-to-modify-a-specified-commit,2718,17
https://stackoverflow.com/questions/4351521/how-do-i-pass-command-line-arguments-to-a-node-js-program,2717,35
https://stackoverflow.com/questions/818255/in-the-shell-what-does-21-mean,2715,18
https://stackoverflow.com/questions/1531093/how-do-i-get-the-current-date-in-javascript,2711,57
https://stackoverflow.com/questions/9537392/git-fetch-remote-branch,2706,31
https://stackoverflow.com/questions/901115/how-can-i-get-query-string-values-in-javascript,2695,73
https://stackoverflow.com/questions/574594/how-can-i-create-an-executable-jar-with-dependencies-using-maven,2687,31
https://stackoverflow.com/questions/1602934/check-if-a-given-key-already-exists-in-a-dictionary,2679,16questionLink,upvotes,answers
https://stackoverflow.com/questions/750172/how-to-change-the-author-and-committer-name-and-e-mail-of-multiple-commits-in-gi,2675,40
https://stackoverflow.com/questions/1139762/ignore-files-that-have-already-been-committed-to-a-git-repository,2672,21
https://stackoverflow.com/questions/332872/encode-url-in-javascript,2671,21
https://stackoverflow.com/questions/287871/how-to-print-colored-text-to-the-terminal,2668,55
https://stackoverflow.com/questions/651038/how-do-you-clone-a-git-repository-into-a-specific-folder,2666,19
https://stackoverflow.com/questions/1108/how-does-database-indexing-work,2663,8
https://stackoverflow.com/questions/4750806/how-can-i-install-pip-on-windows,2663,40
https://stackoverflow.com/questions/9834689/how-can-i-see-the-differences-between-two-branches,2661,5
https://stackoverflow.com/questions/4366730/how-do-i-check-if-a-string-contains-a-specific-word,2660,36
https://stackoverflow.com/questions/4906977/how-to-access-environment-variable-values,2660,15
https://stackoverflow.com/questions/24958140/what-is-the-difference-between-the-copy-and-add-commands-in-a-dockerfile,2659,17
https://stackoverflow.com/questions/5137497/find-the-current-directory-and-files-directory,2654,13
https://stackoverflow.com/questions/14494747/how-to-add-images-to-readme-md-on-github,2654,37
https://stackoverflow.com/questions/19578796/what-is-the-save-option-for-npm-install,2653,13
https://stackoverflow.com/questions/466345/converting-string-into-datetime,2644,25
https://stackoverflow.com/questions/592620/how-can-i-check-if-a-program-exists-from-a-bash-script,2637,40
https://stackoverflow.com/questions/2068344/how-do-i-get-a-youtube-video-thumbnail-from-the-youtube-api,2635,35
https://stackoverflow.com/questions/12859942/why-shouldnt-i-use-mysql-functions-in-php,2634,13
https://stackoverflow.com/questions/10972176/find-the-version-of-an-installed-npm-package,2625,34
https://stackoverflow.com/questions/605845/do-i-cast-the-result-of-malloc,2624,28
https://stackoverflow.com/questions/304319/is-there-an-equivalent-of-which-on-the-windows-command-line,2624,26
https://stackoverflow.com/questions/5404839/how-can-i-refresh-a-page-with-jquery,2623,31
https://stackoverflow.com/questions/978061/http-get-with-request-body,2607,22
https://stackoverflow.com/questions/6343166/how-can-i-fix-android-os-networkonmainthreadexception,2601,64
https://stackoverflow.com/questions/48270127/can-a-1-a-2-a-3-ever-evaluate-to-true,2591,27
https://stackoverflow.com/questions/30081275/why-is-1000000000000000-in-range1000000000000001-so-fast-in-python-3,2588,11
https://stackoverflow.com/questions/1580596/how-do-i-make-git-ignore-file-mode-chmod-changes,2584,12
https://stackoverflow.com/questions/65035/does-a-finally-block-always-get-executed-in-java,2576,49
https://stackoverflow.com/questions/9270734/ssh-permissions-are-too-open-error,2575,33
https://stackoverflow.com/questions/171027/add-table-row-in-jquery,2568,40
https://stackoverflow.com/questions/379906/how-do-i-parse-a-string-to-a-float-or-int,2556,30
https://stackoverflow.com/questions/6677035/scroll-to-an-element-with-jquery,2550,32
https://stackoverflow.com/questions/3042437/how-to-change-the-commit-author-for-one-specific-commit,2549,22
https://stackoverflow.com/questions/8865458/how-do-i-vertically-center-text-with-css,2543,37
https://stackoverflow.com/questions/894860/set-a-default-parameter-value-for-a-javascript-function,2537,29
https://stackoverflow.com/questions/3987683/homebrew-install-specific-version-of-formula,2508,32
https://stackoverflow.com/questions/1128723/how-do-i-determine-whether-an-array-contains-a-particular-value-in-java,2506,29
https://stackoverflow.com/questions/2189452/when-to-use-margin-vs-padding-in-css,2502,16
https://stackoverflow.com/questions/4907843/open-a-url-in-a-new-tab-and-not-a-new-window,2501,32
https://stackoverflow.com/questions/3508605/how-can-i-transition-height-0-to-height-auto-using-css,2500,57
https://stackoverflow.com/questions/930397/how-to-get-the-last-element-of-a-list,2500,21
https://stackoverflow.com/questions/285177/how-do-i-call-one-constructor-from-another-in-java,2495,23
https://stackoverflow.com/questions/18082/validate-decimal-numbers-in-javascript-isnumeric,2486,49
https://stackoverflow.com/questions/18875674/whats-the-difference-between-dependencies-devdependencies-and-peerdependencies,2471,14
https://stackoverflow.com/questions/5963269/how-to-make-a-great-r-reproducible-example,2468,23
https://stackoverflow.com/questions/965053/extract-filename-and-extension-in-bash,2461,37
https://stackoverflow.com/questions/918886/how-do-i-split-a-string-on-a-delimiter-in-bash,2460,33
https://stackoverflow.com/questions/160608/do-a-git-export-like-svn-export,2455,31
https://stackoverflow.com/questions/78536/deep-cloning-objects,2455,53
https://stackoverflow.com/questions/1575141/how-to-make-a-div-100-height-of-the-browser-window,2453,37questionLink,upvotes,answers
https://stackoverflow.com/questions/1260748/how-do-i-remove-a-submodule,3966,34
https://stackoverflow.com/questions/157944/create-arraylist-from-array,3906,39
https://stackoverflow.com/questions/679915/how-do-i-test-for-an-empty-javascript-object,3899,49
https://stackoverflow.com/questions/176918/finding-the-index-of-an-item-in-a-list,3891,36
https://stackoverflow.com/questions/363681/how-do-i-generate-random-integers-within-a-specific-range-in-java,3858,71
https://stackoverflow.com/questions/13375357/proper-use-cases-for-android-usermanager-isuseragoat,3855,11
https://stackoverflow.com/questions/9081/grep-a-file-but-show-several-surrounding-lines,3810,14
https://stackoverflow.com/questions/8710619/why-dont-javas-compound-assignment-operators-require-casting,3771,11
https://stackoverflow.com/questions/520650/make-an-existing-git-branch-track-a-remote-branch,3759,22
https://stackoverflow.com/questions/1338728/delete-commits-from-a-branch-in-git,3751,34
https://stackoverflow.com/questions/3294889/iterating-over-dictionaries-using-for-loops,3750,13
https://stackoverflow.com/questions/201323/how-can-i-validate-an-email-address-using-a-regular-expression,3731,80
https://stackoverflow.com/questions/784929/what-is-the-not-not-operator-in-javascript,3720,38
https://stackoverflow.com/questions/134882/undoing-a-git-rebase,3707,19
https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map,3691,46
https://stackoverflow.com/questions/1014861/is-there-a-css-parent-selector,3681,34
https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash,3680,20
https://stackoverflow.com/questions/8881291/why-is-char-preferred-over-string-for-passwords,3675,18
https://stackoverflow.com/questions/586182/how-to-insert-an-item-into-an-array-at-a-specific-index-javascript,3635,22
https://stackoverflow.com/questions/3010840/loop-through-an-array-in-javascript,3626,44
https://stackoverflow.com/questions/57483/what-are-the-differences-between-a-pointer-variable-and-a-reference-variable-in,3625,42
https://stackoverflow.com/questions/1066589/iterate-through-a-hashmap,3620,7
https://stackoverflow.com/questions/3437059/does-python-have-a-string-contains-substring-method,3592,10
https://stackoverflow.com/questions/29482/how-can-i-cast-int-to-enum,3588,32
https://stackoverflow.com/questions/1098040/checking-if-a-key-exists-in-a-javascript-object,3581,29
https://stackoverflow.com/questions/423379/using-global-variables-in-a-function,3554,21
https://stackoverflow.com/questions/1911109/how-do-i-clone-a-specific-git-branch,3549,7
https://stackoverflow.com/questions/339923/set-cellpadding-and-cellspacing-in-css,3536,30
https://stackoverflow.com/questions/6470651/how-can-i-create-a-memory-leak-in-java,3528,59
https://stackoverflow.com/questions/1394797/move-existing-uncommitted-work-to-a-new-branch-in-git,3519,9
https://stackoverflow.com/questions/588004/is-floating-point-math-broken,3510,31
https://stackoverflow.com/questions/1129216/sort-array-of-objects-by-string-property-value,3494,53
https://stackoverflow.com/questions/1519006/how-do-you-create-a-remote-git-branch,3486,24
https://stackoverflow.com/questions/1554099/why-is-the-android-emulator-so-slow-how-can-we-speed-up-the-android-emulator,3481,77
https://stackoverflow.com/questions/4181861/message-src-refspec-master-does-not-match-any-when-pushing-commits-in-git,3470,114
https://stackoverflow.com/questions/11832914/how-to-round-to-at-most-2-decimal-places-if-necessary,3468,85
https://stackoverflow.com/questions/3207219/how-do-i-list-all-files-of-a-directory,3466,21
https://stackoverflow.com/questions/154059/how-can-i-check-for-an-empty-undefined-null-string-in-javascript,3462,64
https://stackoverflow.com/questions/278192/view-the-change-history-of-a-file-using-git-versioning,3458,24
https://stackoverflow.com/questions/3040833/stash-only-one-file-out-of-multiple-files-that-have-changed-with-git,3456,33
https://stackoverflow.com/questions/215497/what-is-the-difference-between-public-protected-package-private-and-private-in,3444,29
https://stackoverflow.com/questions/415511/how-to-get-the-current-time-in-python,3435,45
https://stackoverflow.com/questions/1143796/remove-a-file-from-a-git-repository-without-deleting-it-from-the-local-filesyste,3435,12
https://stackoverflow.com/questions/728360/how-do-i-correctly-clone-a-javascript-object,3433,76
https://stackoverflow.com/questions/7172784/how-do-i-post-json-data-with-curl,3422,28
https://stackoverflow.com/questions/613183/how-do-i-sort-a-dictionary-by-value,3417,34
https://stackoverflow.com/questions/322715/when-to-use-linkedlist-over-arraylist-in-java,3401,33
https://stackoverflow.com/questions/1034621/get-the-current-url-with-javascript,3393,26
https://stackoverflow.com/questions/352098/how-can-i-pretty-print-json-in-a-shell-script,3388,58
https://stackoverflow.com/questions/6470428/catch-multiple-exceptions-in-one-line-except-block,3377,5
